publish_date,content,time_24h,corrected_date,injury_severity,affected_party,primary_accident_type_code,age,ages_after_driven_by,driver_age_min,location,street,locality,day_of_week_num,rush_hour,rain_today,rain_last_3h,roadworks_nearby,street_had_speed_camera,vehicle_type_score,age_min_encoded,time_period
11/12/2024,"A 60-year-old woman residing in Swieqi, at around 1115hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq E. Bradford corner with Triq il-Kappella tax-Xagħra, Naxxar.Preliminary investigations showed that the woman was hit by a Volkswagen Polo driven by a 48-year-old woman who lives in Mosta.The victim was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",11:15,11/12/2024,grievous,pedestrian,PED,"['60', '48']",[48],48,"Triq il-Kappella tax-Xagħra, Naxxar",Triq il-Kappella tax-Xagħra,Naxxar,2,0,FALSE,FALSE,FALSE,FALSE,2,3,Morning
11/12/2024,"Update:Unfortunately, the 54-year-old Englishman recently lost his life at Mater Dei Hospital.The Magisterial Inquiry and Police investigations are ongoing.Earlier: A 54-year-old Englishman resident in Mellieħa, at around 1700hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in Dawret San Pawl, St Paul’s Bay.Preliminary investigations showed that the man was riding a Honda motorcycle, lost control and crashed into a skip which was stationary on the road.He was assisted by a medical team, taken to hospital by ambulance and certified to be seriously injured.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry.Police investigations are ongoing.",17:00,11/12/2024,death,motorcyclist,FXOBJ,"['54', '54']",[],54,"Dawret San Pawl, Mellieħa",Dawret San Pawl,Mellieħa,2,1,FALSE,FALSE,FALSE,TRUE,1,3,Evening
14/12/2024,"A 17-year-old girl, residing in Qormi, yesterday, at around 1730hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq il-Marfa, Mellieha.Preliminary investigations showed that the girl was hit by a Jeep Grand Cherokee driven by a 52-year-old man who lives in Zejtun. Consequently, the Jeep also hit a Honda Civic which was parked.The victim was assisted by a medical team, taken to hospital by ambulance and certified to be seriously injured.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry.Police investigations are ongoing.",17:30,13/12/2024,serious,pedestrian,PED,"['17', '52']",[52],52,"Triq il-Marfa, Mellieha",Triq il-Marfa,Mellieha,6,0,FALSE,FALSE,TRUE,FALSE,2,3,Evening
14/12/2024,"Yesterday, at around (1945hrs), the police were informed of a traffic accident in Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Skoda Fabia driven by a 50-year-old man from Gudja and a Ford Fiesta, who at the time was on the side of the road with a puncture.At the time of the impact, a 29-year-old man from Birzebbugia was injured after he was trapped between the two vehicles.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified with serious injuries.Magistrate Dr Ian Farrugia LL. D was informed of the case and appointed an inquiry.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.",19:45,13/12/2024,minor,driver,COLL,"['50', '29']",[50],50,"Dawret il-Gudja, Gudja",Dawret il-Gudja,Gudja,6,0,FALSE,FALSE,TRUE,FALSE,2,3,Evening
14/12/2024,"Yesterday, at around (1945hrs), the police were informed of a traffic accident in Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Skoda Fabia driven by a 50-year-old man from Gudja and a Ford Fiesta, who at the time was on the side of the road with a puncture.At the time of the impact, a 29-year-old man from Birzebbugia was injured after he was trapped between the two vehicles.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified with serious injuries.Magistrate Dr Ian Farrugia LL. D was informed of the case and appointed an inquiry.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.",19:45,13/12/2024,serious,driver,COLL,"['50', '29']",[50],50,"Dawret il-Gudja, Gudja",Dawret il-Gudja,Gudja,6,0,FALSE,FALSE,TRUE,FALSE,2,3,Evening
14/12/2024,", police were busy responding to another serious incident in Gudja. A man was fixing a punctured tyre on a Ford Fiesta that stopped on Dawret il-Gudja at around 7.45pm when he was hit by a Skoda Fabia driven by a 50-year-old Gudja resident. The victim, a 29-year-old from Birżebbuġa, ended up squashed between the two vehicles and was seriously injured as a result. He was given first aid and taken to Mater Dei Hospital by ambulance, where he is receiving treatment. Magistrate Ian Farrugia is leading two separate inquiries into the two traffic incidents. Police have also launched their own investigations into the incidents.",19:45,14/12/2024,serious,pedestrian,PED,"['50', '29']",[50],50,"Dawret il-Gudja, Gudja",Dawret il-Gudja,Gudja,5,0,FALSE,FALSE,TRUE,FALSE,4,3,Evening
16/12/2024,"A motorcyclist was seriously injured on Sunday night in a crash on Triq l-Imġarr, Xewkija. The police said in a statement the accident was reported at 8.30pm and involved a Toyota Tercel driven by an 86-year-old woman from Xewkija and a Benelli bike driven by a 45-year-old from Sannat. The motorcyclist was rushed to the Gozo General Hospital where he was certified to have suffered serious injuries. Police investigations and a magisterial inquiry are ongoing.",20:30,15/12/2024,serious,motorcyclist,COLL,"['86', '45']","[86, 45]",45,"Triq l-Imġarr, Xewkija",Triq l-Imġarr,Xewkija,6,0,FALSE,TRUE,FALSE,FALSE,3,2,Evening
16/12/2024,"A motorcyclist was seriously injured on Sunday night in a crash on Triq l-Imġarr, Xewkija. The police said in a statement the accident was reported at 8.30pm and involved a Toyota Tercel driven by an 86-year-old woman from Xewkija and a Benelli bike driven by a 45-year-old from Sannat. The motorcyclist was rushed to the Gozo General Hospital where he was certified to have suffered serious injuries. Police investigations and a magisterial inquiry are ongoing.",20:30,15/12/2024,minor,driver,COLL,"['86', '45']","[86, 45]",45,"Triq l-Imġarr, Xewkija",Triq l-Imġarr,Xewkija,6,0,FALSE,TRUE,FALSE,FALSE,3,2,Evening
17/12/2024,"Updated 6 pm  Two passenger vans crashed in the limit of Siġġiewi on Tuesday afternoon, causing one of them to overturn.  The incident was initially reported by Transport Malta, who in a statement said that the incident involved a minivan carrying school children and that no injuries were reported.  However, when contacted the police said that since the incident was reported at 2.15 pm four people had been taken to Mater Dei Hospital.  Later on Tuesday police were able to confirm that the collision had occurred between a Mercedes Sprinter and a Renault Master on Triq Mons Mikiel Azzopardi.  The Mercedes Sprinter, a school van, was being driven by a 52-year-old man from Għargħur, remained upright and neither the driver nor the passengers were injured.  The Renault Master was being driven by a 46-year-old man from San Ġwann and overturned as a result of the crash.  Four passengers in the van, three women aged 44, 48 and 63 from Siġġiewi and a 43-year-old woman from Rabat were injured and taken to Mater Dei Hospital.  Their condition had not been established at time of writing.  The road has since been reopened to traffic.",14:15,17/12/2024,minor,driver,OTH,"['52', '46', '43', '44']","[52, 46]",46,"Triq Mons Mikiel Azzopardi, Siġġiewi",Triq Mons Mikiel Azzopardi,Siġġiewi,1,0,TRUE,FALSE,FALSE,FALSE,4,3,Afternoon
19/12/2024,"A 44-year-old woman who lives in Balzan, at around 0815hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq il-Kannizzata, Balzan.Preliminary investigations showed that the victim was hit by a Mazda Demio, which was being driven by a 23-year-old woman residing in Attard.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",08:15,19/12/2024,grievous,pedestrian,PED,"['44', '23']",[23],23,"Triq il-Kannizzata, Balzan",Triq il-Kannizzata,Balzan,3,1,FALSE,FALSE,FALSE,FALSE,2,1,Morning
